term,related_lang
Ah Huay,Hokkien
Ah Kong,Hokkien
Ah Lian,Hokkien
Ah Long,Cantonese
Ah Mm,Hokkien
Ah Pek,Hokkien
Ah Seng,Hokkien
Ah Soh,Hokkien
Ahan,Àhàn
Aharon,Hebrew
Aharoni,Hebrew
Aharonyan,Armenian
Ahasuerus,Hebrew
Ahaus,German
Ahiya,Hokkien
Ahl al-Quran,Arabic
Ahlberg,Swedish
Ahlborn,German
Ahlen,German
Ahlfors,Swedish
Ahlgren,Swedish
Ahlquist,Swedish
Ahlstrom,Swedish
Ahmad,Arabic
Ahmadi,Arabic
Ahmadinejad,Persian
Ahmadiyya,Arabic
Ahmann,German
Ahmed,Arabic
Ahmedabad,Hindi
Ahmetovic,Serbo-Croatian
Ahnenerbe,German
Ahola,Finnish
Ahuja,Punjabi
Ai,Chinese
Ai,Japanese
Ai,Hebrew
Aida,Italian
Aiea,Hawaiian
Aiello,Italian
Aigio,Greek
Aigner,German
Ailish,Irish
Aimee,French
Airavata,Sanskrit
Aisha,Arabic
Aislinn,Irish
Aispuro,Spanish
Aitne,Ancient Greek
Ajam,Arabic
Ajmer,Rajasthani
Akademi,English
Akamine,Japanese
Akasagarbha,Sanskrit
Akau,Hawaiian
Akbarian,Persian
Akbash,Turkish
Akedah,Hebrew
Akel,Turkish
Akel,Arabic
Akhalkalak,Armenian
Akhalkalaki,Georgian
Akhaltsikhe,Georgian
Akhasheni,Georgian
Akhetaten,Egyptian
Akhtar,Persian
Akhuryan,Armenian
Akiba,Japanese
Akiba,Japanese
Akiba,Hebrew
Akihabara,Japanese
Akiko,Japanese
Akio,Japanese
Akira,Japanese
Akita,Japanese
Akiva,Hebrew
Akopyan,Russian
Akragas,Ancient Greek
Akre,Norwegian
Akshayapatra,Sanskrit
Aksu,Uyghur
Aktar,Bengali
Aktau,Kazakh
Akula,Telugu
Akureyri,Icelandic
Akutagawa,Japanese
Akṣayamati,Sanskrit
Al Ain,Arabic
Al Hijrah,Arabic
Al Jazeera,Arabic
Alaafin,Yoruba
Alabama,Alabama
Alagna,Italian
Alagoas,Portuguese
Alaia,Basque
Alaimo,Italian
Alameda,Spanish
Alamin,Arabic
Alamo,Spanish
Alamosa,Spanish
Alan,Latin
Alaqagha,Uyghur
Alarcon,Spanish
Alastair,Scottish Gaelic
Alatorre,Spanish
Alava,Spanish
Alayon,Spanish
Alba,Romanian
Alba Longa,Latin
Albala,Spanish
Alban,Latin
Albanese,Italian
Albano,Spanish
Albarran,Spanish
Albats,Russian
Albay,Spanish
Albelo,Galician
Alberico,Italian
Albert,Old French
Albertine,French
Albina,Latin
Albiter,Spanish
Albornoz,Spanish
Alborz,Persian
Albu,Romanian
Albuquerque,Spanish
Albuquerque,Spanish
Alby,Irish
Alcala,Spanish
Alcazar,Spanish
Alcide,French
Alcides,Latin
Alcindor,French
Alcivar,Spanish
Alcman,Latin
Alcmena,Latin
Alcmene,Latin
Alcocer,Spanish
Alcon,Latin
Alcon,Spanish
Alcorcón,Spanish
Alcubierre,Spanish
Alda,Spanish
Alda,Oriya
Aldaba,Spanish
Aldama,Spanish
Aldape,Spanish
Alday,Spanish
Aldo,Italian
Ale,Nepali
Ale,Spanish
Aleah,Arabic
Alecto,Ancient Greek
Aleek-chea-ahoosh,Crow
Alejandro,Spanish
Alemany,Catalan
Alemu,Amharic
Alencar,Portuguese
Alençon,French
Alep,French
Aleppo,Italian
Ales,Italian
Ales,Slovene
Ales,Spanish
Alesi,Italian
Alessandro,Italian
Alessi,Italian
Alexander,Latin
Alexandre,French
Alexandre,Portuguese
Alexandrescu,Romanian
Alexandretta,Byzantine Greek
Alexandropol,Russian
Alexandros,Greek
Alexandroupoli,Greek
Alexis,French
Alexopoulos,Greek
Alfonso,Italian
Alfonso,Spanish
Alfven,Swedish
Alfvén,Swedish
Algarve,Portuguese
Algeria,French
Alghero,Italian
Algiz,Proto-Germanic
Alhambra,Spanish
Alharbi,Arabic
Alhassan,Arabic
Ali,Arabic
Ali Baba,Arabic
Alia,Arabic
Aliaga,Spanish
Aliberti,Italian
Alic,Serbo-Croatian
Alig,German
Alina,Italian
Alina,French
Aline,French
Alioth,Arabic
Alipio,Spanish
Alistair,Scottish Gaelic
Alita,Spanish
Aliyah,Hebrew
Alizadeh,Persian
Allahu akbar,Arabic
Allam,Arabic
Allat,Arabic
Allegra,Italian
Allegretti,Italian
Alleva,Italian
Allgaier,German
Allgeier,German
Allistair,Scottish Gaelic
Allistaire,Scottish Gaelic
Allocca,Italian
Allocco,Italian
Alma-Ata,Russian
Almanza,Spanish
Almario,Spanish
Almas,Arabic
Almas,Hungarian
Almas,Spanish
Almeida,Portuguese
Almendarez,Spanish
Almonte,Spanish
Alms,German
Alofi,Niuean
Aloia,Italian
Alomar,Catalan
Alomari,Arabic
Alon,Tagalog
Alon,Hebrew
Alongi,Italian
Alor Setar,Malay
Alphonse,French
Alpizar,Spanish
Alrisha,Arabic
Alta California,Spanish
Altenhofen,German
Althaus,German
Althing,Icelandic
Altieri,Italian
Altiplano,Spanish
Alto,Spanish
Altobelli,Italian
Altschul,German
Altschuler,Yiddish
Alutiiq,Russian
Alvarez,Spanish
Alvino,Italian
Alvíssmál,Old Norse
Alwan,Arabic
Alxa,Mongolian
Amadea,Latin
Amadeus,Latin
Amakosa,Xhosa
Amalec,Hebrew
Amalfitano,Italian
Amamiya,Japanese
Amano,Japanese
Amanomahitotsu,Japanese
Amanus,Latin
Amapá,Portuguese
Amar,Sanskrit
Amarapura,Burmese
Amari,Japanese
Amarillo,Spanish
Amarone,Italian
Amaseia,Ancient Greek
Amaterasu,Japanese
Amato,Italian
Amatsumara,Japanese
Amazigh,Arabic
Ambrosini,Italian
Ambrosius,German
Ambs,German
Amdahl,Norwegian
Amdo,Tibetan
Amduat,Egyptian
Ame-no-Uzume,Japanese
Ameen,Arabic
Ameland,Dutch
Amemiya,Japanese
Amendola,Italian
Americo,Spanish
Amerika,German
Amescua,Spanish
Amezcua,Spanish
Amezola,Spanish
Amhara,Amharic
Amida,Japanese
Amida,Latin
Amida Nyorai,Japanese
Amidakuji,Japanese
Amiens,Old French
Amigon,Spanish
Amin,Arabic
Amina,Arabic
Amiot,French
Amir,Arabic
Amira,Arabic
Amirault,French
Amirkhanyan,Armenian
Amirul,Arabic
Amisk,Plains Cree
Amisk,Cree
Amitābha,Sanskrit
Amiya,Hebrew
Amjad,Arabic
Amman,Arabic
Ammiyya,Arabic
Amnat Charoen,Thai
Amona,Hebrew
Amor,Portuguese
Amora,Hebrew
Amorgos,Ancient Greek
Amoroso,Italian
Amparan,Spanish
Amphidromia,Ancient Greek
Amrein,German
Amrita,Sanskrit
Amrita Nadi,Sanskrit
Amstelveen,Dutch
Amsterdam,Dutch
Amtmann,German
Amundsen,Norwegian
Amur,Russian
Amuzgo,Spanish
An Giang,Vietnamese
Anaheim,German
Anahi,Spanish
Analia,Spanish
Anania,Italian
Ananke,Ancient Greek
Anantacaritra,Sanskrit
Anapa,Russian
Anastasio,Italian
Anastos,Greek
Anatolia,Medieval Latin
Anaxagoras,Ancient Greek
Anaxarete,Ancient Greek
Anbar,Arabic
Ancheta,Spanish
Anchondo,Spanish
Ancien Régime,French
Ancona,Italian
Ancyra,Latin
Anda,Basque
Andal,Galician
Andal,Norwegian
Andalon,Spanish
Andel,Slovak
Andel,Czech
Anderberg,Swedish
Anderle,German
Andersen,Norwegian
Andersson,Swedish
Ando,Japanese
Andolina,Italian
Andon,Galician
Andorra la Vella,Catalan
Andrada,roa
Andrada,Spanish
Andrada,Portuguese
Andrae,German
Andrea,Italian
Andreasyan,Armenian
Andreescu,Romanian
Andreev,Russian
Andreoli,Italian
Andreozzi,Italian
Andres,Spanish
Andretti,Italian
Andrey,Russian
Andrin,French
Andrist,German
Andromeda,Latin
Androphagi,Ancient Greek
Andrup,Danish
Andujo,Spanish
Anez,Spanish
Anfinson,Norwegian
Ang,Hokkien
Ang Thong,Thai
Angajala,Telugu
Angat,Spanish
Angeles,Spanish
Angeline,French
Angelini,Italian
Angelino,Spanish
Angelle,French
Angelopoulos,Greek
Angelopoulou,Greek
Angelov,Bulgarian
Angers,French
Angilello,Italian
Angkor,Khmer
Angkor Wat,Khmer
Anglezarke,Old Norse
Anglia,Latin
Anglo-,New Latin
Angon,Spanish
Angotti,Italian
Angrez,Urdu
Anguiano,Spanish
Anguilla,Latin
Anheuser,German
Ani,Armenian
Aniceto,Portuguese
Anicetus,Ancient Greek
Anis,Arabic
Anjouan,French
Ankara,Turkish
Ankit,Hindi
Anmol,Hindi
Anna,Ancient Greek
Annaba,Arabic
Annacotty,Irish
Annam,French
Annam,Vietnamese
Annas,Latin
Annette,French
Anno Domini,Medieval Latin
Annunziato,Italian
Ansar,Arabic
Ansbacher,German
Anschluss,German
Anspach,German
Ansusinha,Thai
Antares,Latin
Ante,German
Ante,Spanish
Antheia,Ancient Greek
Anthes,German
Anthesteria,Ancient Greek
Anthony,Latin
Anticlea,Ancient Greek
Antifa,German
Antilochus,Ancient Greek
Antilyas,Arabic
Antiochia,Latin
Antipas,Latin
Antkowiak,Polish
Antlia,Latin
Antoine,French
Antonacci,Italian
Antonelli,Italian
Antonellis,Italian
Antonescu,Romanian
Antonetti,Italian
Antonina,Latin
Antonino,Spanish
Antonio,Italian
Antonio,Spanish
Antoniou,Greek
Antonopoulos,Greek
Antonov,Bulgarian
Antonov,Russian
Antonucci,Italian
Antrim,Irish
Anuket,Egyptian
Anumula,Telugu
Anusim,Hebrew
Anwar,Arabic
Anwar,Arabic
Anya,Russian
Anzai,Japanese
Anzaldo,Spanish
Anzaldua,Spanish
Aoki,Japanese
Aosta,Italian
Aotearoa,Maori
Aoyama,Japanese
Apabhramsha,Sanskrit
Apache,Spanish
Apamea,Latin
Aparo,Sicilian
Apartheid South Africa,Afrikaans
Apaturia,Ancient Greek
Aphrodite,Ancient Greek
Aphthartodocetae,Ancient Greek
Apia,Samoan
Apician,Latin
Apohele,Hawaiian
Apollonia,Latin
Apollyon,Ancient Greek
Apostolescu,Romanian
Apoxsee,Creek
App,German
Appelhans,German
Appelhans,Alemannic German
Appelt,German
Appenzeller,German
Appius,Latin
Aprile,Italian
Apsáalooke,Crow
Apuleius,Latin
Apuzzo,Italian
Aqaba,Arabic
Aqal,Uyghur
Aqqik,Uyghur
Aqsaray,Uyghur
Aquarius,Latin
Aquaterra,Latin
Aquilon,Latin
Aquitaine,French
Aqyar,Uyghur
Ara,Armenian
Aracaju,Portuguese
Aracena,Spanish
Arachosia,Latin
Aragaki,Japanese
Aragatsotn,Armenian
Aragones,Catalan
Aragvi,Georgian
Arai,Japanese
Arakaki,Japanese
Arakawa,Japanese
Arakelyan,Armenian
Araks,Russian
Aram,Hebrew
Aramaean,Hebrew
Aramaic,Aramaic
Aramyan,Armenian
Aran,Irish
Aranas,Spanish
Arancibia,Spanish
Arango,Spanish
Arapaho,Hidatsa
Arapaho,Crow
Ararat,Armenian
Ararat,Latin
Aras,Turkish
Aras,Persian
Arasawa,Japanese
Arata,Italian
Aratsani,Armenian
Aratus,Ancient Greek
Aratürük,Uyghur
Arau,Malay
Araucania,Spanish
Araucanization,Spanish
Araujo,Spanish
Arauz,Spanish
Arazawa,Japanese
Arbaiza,Spanish
Arbelaez,Spanish
Arbelo,Spanish
Arboleda,Spanish
Arbëresh,Albanian
Arc de Triomphe,French
Arcadia,Latin
Arcadius,Latin
Arceneaux,Cajun French
Arche,Ancient Greek
Archimedes,Ancient Greek
Archuleta,Spanish
Arciga,Spanish
Arcilla,Spanish
Arciniega,Spanish
Arcos,Spanish
Arcturus,Latin
Arcuri,Italian
Arczynski,Polish
Ardelean,Romanian
Ardeşen,Turkish
Ardizzone,Italian
Ardolino,Italian
Arduini,Italian
Arecibo,Spanish
Arellano,Spanish
Arends,German
Arenivas,Spanish
Areopagus,Ancient Greek
Arezzo,Italian
Argolic,Latin
Argonaut,Ancient Greek
Argonne,French
Argos,Ancient Greek
Argote,Spanish
Arguelles,Spanish
Argueta,Spanish
Argus,Ancient Greek
Argyll,Scottish Gaelic
Ariana,Latin
Ariane,French
Arico,Italian
Arie,Hebrew
Ariel,Biblical Hebrew
Aries,French
Arinj,Armenian
Ariosophy,German
Arismendez,Spanish
Arispe,Spanish
Aristaeus,Ancient Greek
Aristakesyan,Armenian
Aristizabal,Spanish
Aristophanes,Latin
Aristotelean,Latin
Aristoteles,Latin
Arizaga,Spanish
Arizmendi,Spanish
Arizola,Spanish
Arizpe,Spanish
Arizpe,Basque
Arkansas,French
Arkhangelsk,Russian
Arklitten,German
Arlberg,German
Arlberg Pass,German
Arles,French
Arlon,French
Arlon,Latin
Armageddon,Ancient Greek
Armagh,Irish
Armagnac,French
Armando,Spanish
Armani,Italian
Armato,Italian
Armavir,Armenian
Armel,French
Armendariz,Spanish
Armenteros,Spanish
Armin,German
Arminian,Dutch
Arminius,Latin
Armoric,Latin
Armorica,Latin
Arno,Italian
Arns,German
Aroche,Spanish
Arostegui,Spanish
Arpajon,French
Arps,German
Arreaga,Spanish
Arrey,Catalan
Arriaga,Spanish
Arriaza,Basque
Arrillaga,Spanish
Arrizon,Spanish
Arrokoth,Powhatan
Arrona,Spanish
Arrouet,French
Arroyave,Spanish
Arroyos,Spanish
Arruda,Portuguese
Arsaces,Latin
Arsenault,French
Arseneau,French
Arseneault,French
Arsenyan,Armenian
Arshakuni,Armenian
Arshakyan,Armenian
Arslan,Turkish
Arslanyan,Armenian
Art Deco,French
Art Nouveau,French
Artagnan,French
Artashat,Armenian
Artaxerxes,Ancient Greek
Artaxerxes,Latin
Arte Povera,Italian
Artin,Armenian
Artioli,Italian
Artola,Spanish
Artsakh,Armenian
Artunyan,Armenian
Artux,Kyrgyz
Arumugam,Tamil
Arun,Sanskrit
Aruna,Sanskrit
Arundhati,Sanskrit
Arunim,Sanskrit
Arvanitika,Greek
Arvanitis,Greek
Arvayo,Spanish
Arvid,Danish
Arvid,Norwegian
Arvid,Swedish
Aryadeva,Sanskrit
Arys,German
Arzaga,Spanish
Arzuaga,Spanish
Arzumanyan,Armenian
As-Nas,Persian
Asa,Late Latin
Asa,Biblical Hebrew
Asa,Koine Greek
Asada,Japanese
Asakawa,Japanese
Asaki,Japanese
Asamoto,Japanese
Asano,Japanese
Asato,Japanese
Asatru,Icelandic
Asatryan,Armenian
Asaturyan,Armenian
Asazawa,Japanese
Ascencion,Spanish
Aschaffenburg,German
Asclepieion,Ancient Greek
Asclepius,Latin
Aseem,Hindi
Asenath,Hebrew
Asfour,Arabic
Ash-Shaytan,Arabic
Asha,Sanskrit
Asher,Hebrew
Ashgabat,Turkmen
Ashida,Japanese
Ashkelon,Hebrew
Ashkenazi,Hebrew
Ashkenazim,Hebrew
Ashkhabad,Russian
Ashkharhabar,Armenian
Ashok,Sanskrit
Ashrafi,Arabic
Ashtami,Sanskrit
Ashtarak,Armenian
Ashtavakra,Sanskrit
Ashtoreth,Hebrew
Ashuku Nyorai,Japanese
Ashura,Arabic
Ashvamedha,Sanskrit
Ashwatthama,Sanskrit
Asimov,Russian
Asimus,German
Ask,Old Norse
Ask,Swedish
Askar,Arabic
Askari,Arabic
Aslanian,Armenian
Aslin,Swedish
Asmus,German
Aso,Japanese
Asomtavruli,Georgian
Asperger,German
Assefa,Amharic
Assiniboine,French
Assur,Akkadian
Asta,Italian
Astana,Kazakh
Astarte,Ancient Greek
Asterix,French
Astghik,Armenian
Asthana,Hindi
Astorino,Italian
Astrakhan,Russian
Astyages,Latin
Asuristan,Middle Persian
Aswan,Egyptian Arabic
Atafu,Tokelauan
Atakapa,Choctaw
Atallah,Arabic
Atari,Japanese
Atatürk,Turkish
Atayde,Spanish
Aten,Egyptian
Athanaselis,Greek
Athanasellis,Greek
Athanasios,Greek
Athanasius,Latin
Atharvaveda,Sanskrit
Athena,Latin
Athenaeum,Latin
Atikamekw,Atikamekw
Atikaya,Sanskrit
Atilius,Latin
Atira,Pawnee
Atlantis,Ancient Greek
Atlas,Latin
Atlas Mountains,Arabic
Atong,Atong (India)
Atong,Atong (Cameroon)
Atreus,Ancient Greek
Atsuko,Japanese
Attal,Arabic
Attal,French
Attalia,Latin
Attashin,Persian
Atticus,Latin
Attila,Ancient Greek
Attoun,Arabic
Attri,Punjabi
Atum,Coptic
Atyrau,Kazakh
Até,Ancient Greek
Aube,French
Aubin,French
Auble,French
Aucoin,French
Aude,French
Audelo,Spanish
Audet,French
Audett,French
Audette,French
Audia,Italian
Audureau,French
Auer,German
Auerbach,German
Auernheimer,German
Auf der Maur,German
Aufgabe,German
Aufiero,Italian
Aufklärung,German
Augelli,Italian
Augello,Italian
Auger,French
Augier,French
Augsburger,German
Augustan,Latin
Augustenborg,Swedish
Aukštaitian,Lithuanian
Aukštaitija,Lithuanian
Aulakh,Punjabi
Auletta,Italian
Aumann,German
Aung,Burmese
Aunglan,Burmese
Aurelia,Latin
Auriemma,Italian
Aurès,French
Aurès,Arabic
Aurès,Central Atlas Tamazight
Ausbruch,German
Aust,German
Austad,Norwegian
Auster,Latin
Austerlitz,German
Australasia,French
Austria,Latin
Austroasiatic,German
Austronesian,German
Autolycus,Ancient Greek
Auvergne,French
Auyeung,Cantonese
Avakian,Armenian
Avallone,Italian
Avalokiteshvara,Sanskrit
Avalon,Latin
Avalos,Spanish
Avansian,Armenian
Avdic,Serbo-Croatian
Avella,Italian
Avellino,Italian
Aven,Norwegian
Avendano,Spanish
Avernus,Latin
Averroes,Medieval Latin
Aversano,Italian
Avetisyan,Armenian
Avetyan,Armenian
Avi,Hebrew
Avicenna,Medieval Latin
Avignon,French
Avignon,Occitan
Avila,Galician
Avilés,Spanish
Avlabari,Georgian
Avraam,Greek
Avril,French
Avril,French
Avvampato,Italian
Awada,Arabic
Awadallah,Arabic
Awadh,Hindi
Awan,Hebrew
Awat,Uyghur
Axler,German
Axt,German
Aya,Japanese
Ayako,Japanese
Ayala,Spanish
Ayam,Gulf Arabic
Aydelotte,French
Aydin,Turkish
Aydın,Turkish
Aye,Burmese
Ayerbe,Spanish
Aykol,Uyghur
Ayllon,Spanish
Aymara,Spanish
Ayn,French
Ayn,Arabic
Ayodhya,Sanskrit
Ayside,Old Norse
Ayson,Tagalog
Aytos,Bulgarian
Ayumi,Japanese
Ayurveda,Sanskrit
Ayutthaya,Thai
Azar,Persian
Azariah,Hebrew
Azazel,Hebrew
Azcapotzalco,Spanish
Azcona,Spanish
Azd,Arabic
Azer,Arabic
Azhar,Arabic
Azhdahak,Armenian
Azim,Arabic
Azkal,Tagalog
Azores,Spanish
Azores,Portuguese
Azov,Russian
Azpeitia,Spanish
Azqueltán,Spanish
Azucena,Spanish
Azurmendi,Spanish
Azzara,Italian
Azzarello,Italian
BACH,German
BD,French
BGM,Japanese
BID,Latin
BL,Japanese
BRD,German
Baaden,German
Baal-gad,Hebrew
Baatonum,Baatonum
Baatz,German
Bab el Mandeb,Arabic
Bab-e-Khyber,Urdu
Baba Yaga,Russian
Babalola,Yoruba
Babiak,Polish
Babiarz,Polish
Babino,Italian
Babler,German
Babula,Polish
Baby,Malayalam
Baby,French
Babylonia,Latin
Baca,Hebrew
Bacacay,Bikol Central
Bacallao,Spanish
Bacavi,Hopi
Baccari,Italian
Bacci,Italian
Bach,Vietnamese
Bachar,Hebrew
Bachar,Polish
Bachicha,Spanish
Bachiller,Spanish
Baci,Italian
Bacigalupo,Italian
Bacilio,Spanish
Backlund,Swedish
Backstrom,Swedish
Bacoor,Spanish
Bacus,Cebuano
Badajoz,Spanish
Badakhshan,Persian
Badalamenti,Italian
